Language,Category,Average Accuracy,Average Precision,Average Recall,Average F1 Score,Average Precision Weighted,Average Recall Weighted,Average F1 Weighted,Final Accuracy,Final Precision,Final Recall,Final F1 Score,Final Precision Weighted,Final Recall Weighted,Final F1 Weighted
java,summary,0.8449216068905188,0.5475641397171509,0.4477653243217873,0.49001691678882403,0.8350995616295022,0.8449216068905188,0.8382926808114745,0.8551020408163266,0.5930232558139535,0.5862068965517241,0.5895953757225434,0.8544533309524593,0.8551020408163266,0.8547730362746986
java,Ownership,0.9984442500504678,0.9833333333333334,0.978235294117647,0.9801155366372758,0.9984903522690649,0.9984442500504678,0.9984414061143869,0.9979550102249489,0.9615384615384616,1.0,0.9803921568627451,0.9980336636778355,0.9979550102249489,0.9979739561293309
java,Expand,0.7907766665327818,0.6214406337660874,0.5257891454656953,0.5674634918525207,0.7835443725115672,0.7907766665327818,0.7849481965199148,0.7885010266940452,0.6016949152542372,0.5590551181102362,0.5795918367346938,0.783944780073562,0.7885010266940452,0.7859219008920779
java,usage,0.765406809388012,0.6851015261015371,0.6987226701682705,0.691276782136504,0.7668060324069088,0.765406809388012,0.7656591839269874,0.8069815195071869,0.7419354838709677,0.75,0.745945945945946,0.8074137190795206,0.8069815195071869,0.8071836240554029
java,Pointer,0.908243052284503,0.7208632185777334,0.6427170593978743,0.6776042416774681,0.9061238708803515,0.908243052284503,0.9064354385129327,0.8977505112474438,0.7049180327868853,0.5733333333333334,0.6323529411764706,0.891442906811818,0.8977505112474438,0.8933377250467388
java,deprecation,0.985505616473203,0.9295396419437341,0.7347619047619047,0.814219688486206,0.9847562514926851,0.985505616473203,0.9842795684123506,0.9753593429158111,0.8260869565217391,0.7037037037037037,0.76,0.9740725119986207,0.9753593429158111,0.974427051388037
java,rational,0.9165803108808289,0.6724093175503368,0.5813667962766583,0.6166242862953806,0.914251656409854,0.9165803108808289,0.9140455500019732,0.8995901639344263,0.5740740740740741,0.543859649122807,0.5585585585585585,0.8973400527141935,0.8995901639344263,0.8984073953608682
python,Usage,0.7674085850556439,0.6318266978922716,0.6204960583750436,0.6259258560698743,0.7665252978712324,0.7674085850556439,0.7668589235012335,0.7195357833655706,0.5633802816901409,0.49079754601226994,0.5245901639344263,0.7107910752717465,0.7195357833655706,0.7139200659333979
python,Parameters,0.7496290408055113,0.5926908147184575,0.6122012686212316,0.6013035515502796,0.752477345992494,0.7496290408055113,0.7504309750485906,0.7316602316602316,0.5555555555555556,0.6832298136645962,0.6128133704735376,0.7520223348348348,0.7316602316602316,0.7381555549451765
python,DevelopmentNotes,0.8464879317820495,0.3531631933957516,0.32325310268437407,0.33513818190288314,0.8418653231691522,0.8464879317820495,0.8436386384501044,0.810077519379845,0.28,0.3230769230769231,0.3,0.8220974177784809,0.810077519379845,0.8157958772204262
python,Expand,0.7802982126511537,0.4421561109370725,0.4503351783839588,0.44460008406958007,0.7815526142664855,0.7802982126511537,0.7804143079488497,0.7771317829457365,0.44036697247706424,0.47058823529411764,0.4549763033175355,0.7829238067130109,0.7771317829457365,0.7798785409937234
python,Summary,0.8121681842270077,0.4655834272272628,0.38683397247913376,0.421711843946336,0.8011514295208014,0.8121681842270077,0.8055702449160748,0.7848837209302325,0.3953488372093023,0.3655913978494624,0.37988826815642457,0.7785424553812872,0.7848837209302325,0.7815601943541286
pharo,Keyimplementationpoints,0.8655763357815301,0.4854773425499232,0.401899451899452,0.43728712325727254,0.8570086819051521,0.8655763357815301,0.8601998264597774,0.841225626740947,0.3902439024390244,0.3333333333333333,0.3595505617977528,0.8312983560802131,0.841225626740947,0.8358651729180498
pharo,Example,0.8203225562201861,0.8092366431171267,0.7570077941545347,0.7809085450521638,0.8215313433873176,0.8203225562201861,0.8193456512068801,0.803921568627451,0.7697368421052632,0.7697368421052632,0.7697368421052632,0.803921568627451,0.803921568627451,0.803921568627451
pharo,Responsibilities,0.8143888342040837,0.5164532857953165,0.4464191138222916,0.47560539576251654,0.8061203006201414,0.8143888342040837,0.8087883212797763,0.7910863509749304,0.45588235294117646,0.4492753623188406,0.45255474452554745,0.7899344472016184,0.7910863509749304,0.7905036803958436
pharo,Classreferences,0.9531182958532092,0.39714285714285713,0.1876190476190476,0.2414992025518341,0.9411278226832527,0.9531182958532092,0.9444785479508802,0.938375350140056,0.2727272727272727,0.17647058823529413,0.21428571428571427,0.9268323198959038,0.938375350140056,0.9320422046369569
pharo,Intent,0.8864516291865424,0.5351971326164875,0.49935574609487654,0.5122416554001407,0.8853794911221854,0.8864516291865424,0.8851802874864475,0.898876404494382,0.6666666666666666,0.4,0.5,0.8861719203579113,0.898876404494382,0.8876580056179775
pharo,Keymessages,0.8379420004543047,0.54027014078954,0.4957083603857567,0.5067683364081088,0.8368566243329164,0.8379420004543047,0.834808942771387,0.8268156424581006,0.5111111111111111,0.36507936507936506,0.42592592592592593,0.8086601103039606,0.8268156424581006,0.8149471969028717
pharo,Collaborators,0.9011307135105122,0.20670048905343022,0.14299736495388668,0.16621380097611,0.8851975955201029,0.9011307135105122,0.8923340309855018,0.8997214484679665,0.25,0.14285714285714285,0.18181818181818182,0.8769906689297285,0.8997214484679665,0.8869397879341425
